Estudiante,Matrícula,Curso,Acción PME,Código Acción,Horas Asistencia,Talleres Asistidos,Fecha Registro
María Soto,MAT-2026-6149,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,13.4,6,26/08/2026
Iván Molina,MAT-2026-9635,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,16.8,8,26/08/2026
Néstor Fuentealba,MAT-2026-1521,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,15.1,7,26/08/2026
Josefina Santibáñez,MAT-2026-6653,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,19.1,9,26/08/2026
Gloria Vásquez,MAT-2026-3316,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,8.6,4,26/08/2026
Benjamín Cabrera,MAT-2026-3209,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,9.2,4,26/08/2026
Carolina Cuevas,MAT-2026-9427,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,13.2,6,26/08/2026
Isaac González,MAT-2026-1113,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,11.3,5,26/08/2026
Alberto Donoso,MAT-2026-8318,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,14.7,7,26/08/2026
Marcela Contreras,MAT-2026-1553,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,15.4,7,26/08/2026
Jorge Ibarra,MAT-2026-5339,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,10.8,5,26/08/2026
Isabel Reyes,MAT-2026-5186,8° Básico,Taller de Refuerzo Matemático,ACC-2026-001,13.6,6,26/08/2026
Victoria Salgado,MAT-2026-6358,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,19.6,9,26/08/2026
Macarena León,MAT-2026-2438,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,17.3,8,26/08/2026
Francia Miranda,MAT-2026-3940,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,14.7,7,26/08/2026
Rolando Órdenes,MAT-2026-5710,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,16.8,8,26/08/2026
Alex Catalán,MAT-2026-8938,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,19.3,9,26/08/2026
Gloria Vejar,MAT-2026-1677,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,5.9,2,26/08/2026
Reinaldo Marín,MAT-2026-3823,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,13.0,6,26/08/2026
Oscar González,MAT-2026-8749,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,10.1,5,26/08/2026
Marina Ramírez,MAT-2026-6365,5° Básico,Lectura Comprensiva Diaria,ACC-2026-002,11.3,5,26/08/2026
